round_epochs,loss,val_loss,activation,batch_size,dense_layers,dropout,epochs,first_neuron,optimizer
112,0.075,0.09,selu,16,3,0.0,150,600,Adamax
109,0.08,0.093,selu,16,3,0.0,150,300,Adamax
75,0.098,0.107,selu,16,3,0.0,150,300,adam
69,0.101,0.108,selu,16,3,0.0,150,600,adam
143,0.104,0.111,selu,16,5,0.0,150,300,Adamax
104,0.104,0.112,selu,16,5,0.0,150,600,Adamax
150,0.128,0.112,selu,16,3,0.25,150,600,Adamax
115,0.104,0.113,selu,16,3,0.0,150,100,Adamax
150,0.105,0.113,selu,16,5,0.0,150,100,Adamax
150,0.143,0.117,selu,16,3,0.25,150,300,Adamax
86,0.116,0.12,selu,16,3,0.0,150,100,adam
94,0.117,0.122,selu,16,5,0.0,150,600,adam
65,0.115,0.122,selu,16,5,0.0,150,300,adam
65,0.116,0.126,selu,16,5,0.0,150,100,adam
114,0.137,0.128,selu,16,3,0.25,150,300,adam
150,0.144,0.133,selu,16,5,0.25,150,600,Adamax
150,0.159,0.135,selu,16,3,0.25,150,100,Adamax
150,0.15,0.137,selu,16,5,0.25,150,300,Adamax
89,0.169,0.138,selu,16,3,0.25,150,600,adam
150,0.173,0.146,selu,16,5,0.25,150,100,Adamax
65,0.165,0.147,selu,16,3,0.25,150,100,adam
101,0.158,0.149,selu,16,5,0.25,150,300,adam
150,0.203,0.15,selu,16,3,0.5,150,600,Adamax
107,0.176,0.153,selu,16,5,0.25,150,100,adam
46,0.164,0.154,selu,16,5,0.25,150,600,adam
150,0.211,0.154,selu,16,3,0.5,150,300,Adamax
131,0.239,0.159,selu,16,3,0.5,150,600,adam
111,0.211,0.16,selu,16,3,0.5,150,300,adam
92,0.206,0.163,selu,16,3,0.5,150,100,adam
150,0.211,0.165,selu,16,3,0.5,150,100,Adamax
150,0.237,0.202,selu,16,5,0.5,150,300,Adamax
150,0.275,0.212,selu,16,5,0.5,150,100,Adamax
94,0.308,0.246,selu,16,5,0.5,150,100,adam
78,0.301,0.268,selu,16,5,0.5,150,300,adam
